Exiobase - Region,Exiobase - Category
MAC,Electricity by biomass and waste
MAC,Electricity by solar photovoltaic
MAC,Electricity by solar thermal
MAC,"Electricity by tide, wave, ocean"
MAC,Electricity by Geothermal
MAC,Electricity nec
MAC,Transmission services of electricity
MAC,Distribution and trade services of electricity
MAC,Coke oven gas
MAC,Blast Furnace Gas
MAC,Oxygen Steel Furnace Gas
MAC,Gas Works Gas
MAC,Biogas
MAC,Distribution services of gaseous fuels through mains
MAC,Steam and hot water supply services
MAC,"Collected and purified water, distribution services of water (41)"
MAC,Construction work (45)
MAC,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates"
MAC,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
MAC,Retail trade services of motor fuel
MAC,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)"
MAC,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)"
MAC,Hotel and restaurant services (55)
MAC,Railway transportation services
MAC,Other land transportation services
MAC,Transportation services via pipelines
MAC,Sea and coastal water transportation services
MAC,Inland water transportation services
MAC,Air transport services (62)
MAC,Supporting and auxiliary transport services; travel agency services (63)
MAC,Post and telecommunication services (64)
MAC,"Financial intermediation services, except insurance and pension funding services (65)"
MAC,"Insurance and pension funding services, except compulsory social security services (66)"
MAC,Services auxiliary to financial intermediation (67)
MAC,Real estate services (70)
MAC,Renting services of machinery and equipment without operator and of personal and household goods (71)
MAC,Computer and related services (72)
MAC,Research and development services (73)
MAC,Other business services (74)
MAC,Public administration and defence services; compulsory social security services (75)
MAC,Education services (80)
MAC,Health and social work services (85)
MAC,Food waste for treatment: incineration
MAC,Paper waste for treatment: incineration
MAC,Plastic waste for treatment: incineration
MAC,Intert/metal waste for treatment: incineration
MAC,Textiles waste for treatment: incineration
MAC,Wood waste for treatment: incineration
MAC,Oil/hazardous waste for treatment: incineration
MAC,Food waste for treatment: biogasification and land application
MAC,Paper waste for treatment: biogasification and land application
MAC,Sewage sludge for treatment: biogasification and land application
MAC,Food waste for treatment: composting and land application
MAC,Paper and wood waste for treatment: composting and land application
MAC,Food waste for treatment: waste water treatment
MAC,Other waste for treatment: waste water treatment
MAC,Food waste for treatment: landfill
MAC,Paper for treatment: landfill
MAC,Plastic waste for treatment: landfill
MAC,Inert/metal/hazardous waste for treatment: landfill
MAC,Textiles waste for treatment: landfill
MAC,Wood waste for treatment: landfill
MAC,Membership organisation services n.e.c. (91)
MAC,"Recreational, cultural and sporting services (92)"
MAC,Other services (93)
MAC,Private households with employed persons (95)
MAC,Extra-territorial organizations and bodies
COL,Paddy rice
COL,Wheat
COL,Cereal grains nec
COL,"Vegetables, fruit, nuts"
COL,Oil seeds
COL,"Sugar cane, sugar beet"
COL,Plant-based fibers
COL,Crops nec
COL,Cattle
COL,Pigs
COL,Poultry
COL,Meat animals nec
COL,Animal products nec
COL,Raw milk
COL,"Wool, silk-worm cocoons"
COL,Manure (conventional treatment)
COL,Manure (biogas treatment)
COL,"Products of forestry, logging and related services (02)"
COL,Fish and other fishing products; services incidental of fishing (05)
COL,Anthracite
COL,Coking Coal
COL,Other Bituminous Coal
COL,Sub-Bituminous Coal
COL,Patent Fuel
COL,Lignite/Brown Coal
COL,BKB/Peat Briquettes
COL,Peat
COL,"Crude petroleum and services related to crude oil extraction, excluding surveying"
COL,"Natural gas and services related to natural gas extraction, excluding surveying"
COL,Natural Gas Liquids
COL,Other Hydrocarbons
COL,Uranium and thorium ores (12)
COL,Iron ores
COL,Copper ores and concentrates
COL,Nickel ores and concentrates
COL,Aluminium ores and concentrates
COL,Precious metal ores and concentrates
COL,"Lead, zinc and tin ores and concentrates"
COL,Other non-ferrous metal ores and concentrates
COL,Stone
COL,Sand and clay
COL,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c."
COL,Products of meat cattle
COL,Products of meat pigs
COL,Products of meat poultry
COL,Meat products nec
COL,products of Vegetable oils and fats
COL,Dairy products
COL,Processed rice
COL,Sugar
COL,Food products nec
COL,Beverages
COL,Fish products
COL,Tobacco products (16)
COL,Textiles (17)
COL,Wearing apparel; furs (18)
COL,Leather and leather products (19)
COL,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)
COL,"Wood material for treatment, Re-processing of secondary wood material into new wood material"
COL,Pulp
COL,"Secondary paper for treatment, Re-processing of secondary paper into new pulp"
COL,Paper and paper products
COL,Printed matter and recorded media (22)
COL,Coke Oven Coke
COL,Gas Coke
COL,Coal Tar
COL,Motor Gasoline
COL,Aviation Gasoline
COL,Gasoline Type Jet Fuel
COL,Kerosene Type Jet Fuel
COL,Kerosene
COL,Gas/Diesel Oil
COL,Heavy Fuel Oil
COL,Refinery Gas
COL,Liquefied Petroleum Gases (LPG)
COL,Refinery Feedstocks
COL,Ethane
COL,Naphtha
COL,White Spirit & SBP
COL,Lubricants
COL,Bitumen
COL,Paraffin Waxes
COL,Petroleum Coke
COL,Non-specified Petroleum Products
COL,Nuclear fuel
COL,"Plastics, basic"
COL,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic"
COL,N-fertiliser
COL,P- and other fertiliser
COL,Chemicals nec
COL,Charcoal
COL,Additives/Blending Components
COL,Biogasoline
COL,Biodiesels
COL,Other Liquid Biofuels
COL,Rubber and plastic products (25)
COL,Glass and glass products
COL,"Secondary glass for treatment, Re-processing of secondary glass into new glass"
COL,Ceramic goods
COL,"Bricks, tiles and construction products, in baked clay"
COL,"Cement, lime and plaster"
COL,"Ash for treatment, Re-processing of ash into clinker"
COL,Other non-metallic mineral products
COL,Basic iron and steel and of ferro-alloys and first products thereof
COL,"Secondary steel for treatment, Re-processing of secondary steel into new steel"
COL,Precious metals
COL,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals"
COL,Aluminium and aluminium products
COL,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium"
COL,"Lead, zinc and tin and products thereof"
COL,"Secondary lead for treatment, Re-processing of secondary lead into new lead"
COL,Copper products
COL,"Secondary copper for treatment, Re-processing of secondary copper into new copper"
COL,Other non-ferrous metal products
COL,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals"
COL,Foundry work services
COL,"Fabricated metal products, except machinery and equipment (28)"
COL,Machinery and equipment n.e.c. (29)
COL,Office machinery and computers (30)
COL,Electrical machinery and apparatus n.e.c. (31)
COL,"Radio, television and communication equipment and apparatus (32)"
COL,"Medical, precision and optical instruments, watches and clocks (33)"
COL,"Motor vehicles, trailers and semi-trailers (34)"
COL,Other transport equipment (35)
COL,Furniture; other manufactured goods n.e.c. (36)
COL,Secondary raw materials
COL,"Bottles for treatment, Recycling of bottles by direct reuse"
COL,Electricity by coal
COL,Electricity by gas
COL,Electricity by nuclear
COL,Electricity by hydro
COL,Electricity by wind
COL,Electricity by petroleum and other oil derivatives
COL,Electricity by biomass and waste
COL,Electricity by solar photovoltaic
COL,Electricity by solar thermal
COL,"Electricity by tide, wave, ocean"
COL,Electricity by Geothermal
COL,Electricity nec
COL,Transmission services of electricity
COL,Distribution and trade services of electricity
COL,Coke oven gas
COL,Blast Furnace Gas
COL,Oxygen Steel Furnace Gas
COL,Gas Works Gas
COL,Biogas
COL,Distribution services of gaseous fuels through mains
COL,Steam and hot water supply services
COL,"Collected and purified water, distribution services of water (41)"
COL,Construction work (45)
COL,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates"
COL,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
COL,Retail trade services of motor fuel
COL,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)"
COL,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)"
COL,Hotel and restaurant services (55)
COL,Railway transportation services
COL,Other land transportation services
COL,Transportation services via pipelines
COL,Sea and coastal water transportation services
COL,Inland water transportation services
COL,Air transport services (62)
COL,Supporting and auxiliary transport services; travel agency services (63)
COL,Post and telecommunication services (64)
COL,"Financial intermediation services, except insurance and pension funding services (65)"
COL,"Insurance and pension funding services, except compulsory social security services (66)"
COL,Services auxiliary to financial intermediation (67)
COL,Real estate services (70)
COL,Renting services of machinery and equipment without operator and of personal and household goods (71)
COL,Computer and related services (72)
COL,Research and development services (73)
COL,Other business services (74)
COL,Public administration and defence services; compulsory social security services (75)
COL,Education services (80)
COL,Health and social work services (85)
COL,Food waste for treatment: incineration
COL,Paper waste for treatment: incineration
COL,Plastic waste for treatment: incineration
COL,Intert/metal waste for treatment: incineration
COL,Textiles waste for treatment: incineration
COL,Wood waste for treatment: incineration
COL,Oil/hazardous waste for treatment: incineration
COL,Food waste for treatment: biogasification and land application
COL,Paper waste for treatment: biogasification and land application
COL,Sewage sludge for treatment: biogasification and land application
COL,Food waste for treatment: composting and land application
COL,Paper and wood waste for treatment: composting and land application
COL,Food waste for treatment: waste water treatment
COL,Other waste for treatment: waste water treatment
COL,Food waste for treatment: landfill
COL,Paper for treatment: landfill
COL,Plastic waste for treatment: landfill
COL,Inert/metal/hazardous waste for treatment: landfill
COL,Textiles waste for treatment: landfill
COL,Wood waste for treatment: landfill
COL,Membership organisation services n.e.c. (91)
COL,"Recreational, cultural and sporting services (92)"
COL,Other services (93)
COL,Private households with employed persons (95)
COL,Extra-territorial organizations and bodies
COM,Paddy rice
COM,Wheat
COM,Cereal grains nec
COM,"Vegetables, fruit, nuts"
COM,Oil seeds
COM,"Sugar cane, sugar beet"
COM,Plant-based fibers
COM,Crops nec
COM,Cattle
COM,Pigs
COM,Poultry
COM,Meat animals nec
COM,Animal products nec
COM,Raw milk
COM,"Wool, silk-worm cocoons"
COM,Manure (conventional treatment)
COM,Manure (biogas treatment)
COM,"Products of forestry, logging and related services (02)"
COM,Fish and other fishing products; services incidental of fishing (05)
COM,Anthracite
COM,Coking Coal
COM,Other Bituminous Coal
COM,Sub-Bituminous Coal
COM,Patent Fuel
COM,Lignite/Brown Coal
COM,BKB/Peat Briquettes
COM,Peat
COM,"Crude petroleum and services related to crude oil extraction, excluding surveying"
COM,"Natural gas and services related to natural gas extraction, excluding surveying"
COM,Natural Gas Liquids
COM,Other Hydrocarbons
COM,Uranium and thorium ores (12)
COM,Iron ores
COM,Copper ores and concentrates
COM,Nickel ores and concentrates
COM,Aluminium ores and concentrates
COM,Precious metal ores and concentrates
COM,"Lead, zinc and tin ores and concentrates"
COM,Other non-ferrous metal ores and concentrates
COM,Stone
COM,Sand and clay
COM,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c."
COM,Products of meat cattle
COM,Products of meat pigs
COM,Products of meat poultry
COM,Meat products nec
COM,products of Vegetable oils and fats
COM,Dairy products
COM,Processed rice
COM,Sugar
COM,Food products nec
COM,Beverages
COM,Fish products
COM,Tobacco products (16)
COM,Textiles (17)
COM,Wearing apparel; furs (18)
COM,Leather and leather products (19)
COM,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)
COM,"Wood material for treatment, Re-processing of secondary wood material into new wood material"
COM,Pulp
COM,"Secondary paper for treatment, Re-processing of secondary paper into new pulp"
COM,Paper and paper products
COM,Printed matter and recorded media (22)
COM,Coke Oven Coke
COM,Gas Coke
COM,Coal Tar
COM,Motor Gasoline
COM,Aviation Gasoline
COM,Gasoline Type Jet Fuel
COM,Kerosene Type Jet Fuel
COM,Kerosene
COM,Gas/Diesel Oil
COM,Heavy Fuel Oil
COM,Refinery Gas
COM,Liquefied Petroleum Gases (LPG)
COM,Refinery Feedstocks
COM,Ethane
COM,Naphtha
COM,White Spirit & SBP
COM,Lubricants
COM,Bitumen
COM,Paraffin Waxes
COM,Petroleum Coke
COM,Non-specified Petroleum Products
COM,Nuclear fuel
COM,"Plastics, basic"
COM,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic"
COM,N-fertiliser
COM,P- and other fertiliser
COM,Chemicals nec
COM,Charcoal
COM,Additives/Blending Components
COM,Biogasoline
COM,Biodiesels
COM,Other Liquid Biofuels
COM,Rubber and plastic products (25)
COM,Glass and glass products
COM,"Secondary glass for treatment, Re-processing of secondary glass into new glass"
COM,Ceramic goods
COM,"Bricks, tiles and construction products, in baked clay"
COM,"Cement, lime and plaster"
COM,"Ash for treatment, Re-processing of ash into clinker"
COM,Other non-metallic mineral products
COM,Basic iron and steel and of ferro-alloys and first products thereof
COM,"Secondary steel for treatment, Re-processing of secondary steel into new steel"
COM,Precious metals
COM,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals"
COM,Aluminium and aluminium products
COM,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium"
COM,"Lead, zinc and tin and products thereof"
COM,"Secondary lead for treatment, Re-processing of secondary lead into new lead"
COM,Copper products
COM,"Secondary copper for treatment, Re-processing of secondary copper into new copper"
COM,Other non-ferrous metal products
COM,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals"
COM,Foundry work services
COM,"Fabricated metal products, except machinery and equipment (28)"
COM,Machinery and equipment n.e.c. (29)
COM,Office machinery and computers (30)
COM,Electrical machinery and apparatus n.e.c. (31)
COM,"Radio, television and communication equipment and apparatus (32)"
COM,"Medical, precision and optical instruments, watches and clocks (33)"
COM,"Motor vehicles, trailers and semi-trailers (34)"
COM,Other transport equipment (35)
COM,Furniture; other manufactured goods n.e.c. (36)
COM,Secondary raw materials
COM,"Bottles for treatment, Recycling of bottles by direct reuse"
COM,Electricity by coal
COM,Electricity by gas
COM,Electricity by nuclear
COM,Electricity by hydro
COM,Electricity by wind
COM,Electricity by petroleum and other oil derivatives
COM,Electricity by biomass and waste
COM,Electricity by solar photovoltaic
COM,Electricity by solar thermal
COM,"Electricity by tide, wave, ocean"
COM,Electricity by Geothermal
COM,Electricity nec
COM,Transmission services of electricity
COM,Distribution and trade services of electricity
COM,Coke oven gas
COM,Blast Furnace Gas
COM,Oxygen Steel Furnace Gas
COM,Gas Works Gas
COM,Biogas
COM,Distribution services of gaseous fuels through mains
COM,Steam and hot water supply services
COM,"Collected and purified water, distribution services of water (41)"
COM,Construction work (45)
COM,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates"
COM,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
COM,Retail trade services of motor fuel
COM,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)"
COM,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)"
COM,Hotel and restaurant services (55)
COM,Railway transportation services
COM,Other land transportation services
COM,Transportation services via pipelines
COM,Sea and coastal water transportation services
COM,Inland water transportation services
COM,Air transport services (62)
COM,Supporting and auxiliary transport services; travel agency services (63)
COM,Post and telecommunication services (64)
COM,"Financial intermediation services, except insurance and pension funding services (65)"
COM,"Insurance and pension funding services, except compulsory social security services (66)"
COM,Services auxiliary to financial intermediation (67)
COM,Real estate services (70)
COM,Renting services of machinery and equipment without operator and of personal and household goods (71)
COM,Computer and related services (72)
COM,Research and development services (73)
COM,Other business services (74)
COM,Public administration and defence services; compulsory social security services (75)
COM,Education services (80)
COM,Health and social work services (85)
COM,Food waste for treatment: incineration
COM,Paper waste for treatment: incineration
COM,Plastic waste for treatment: incineration
COM,Intert/metal waste for treatment: incineration
COM,Textiles waste for treatment: incineration
COM,Wood waste for treatment: incineration
COM,Oil/hazardous waste for treatment: incineration
COM,Food waste for treatment: biogasification and land application
COM,Paper waste for treatment: biogasification and land application
COM,Sewage sludge for treatment: biogasification and land application
COM,Food waste for treatment: composting and land application
COM,Paper and wood waste for treatment: composting and land application
COM,Food waste for treatment: waste water treatment
COM,Other waste for treatment: waste water treatment
COM,Food waste for treatment: landfill
COM,Paper for treatment: landfill
COM,Plastic waste for treatment: landfill
COM,Inert/metal/hazardous waste for treatment: landfill
COM,Textiles waste for treatment: landfill
COM,Wood waste for treatment: landfill
COM,Membership organisation services n.e.c. (91)
COM,"Recreational, cultural and sporting services (92)"
COM,Other services (93)
COM,Private households with employed persons (95)
COM,Extra-territorial organizations and bodies
COG,Paddy rice
COG,Wheat
COG,Cereal grains nec
COG,"Vegetables, fruit, nuts"
COG,Oil seeds
COG,"Sugar cane, sugar beet"
COG,Plant-based fibers
COG,Crops nec
COG,Cattle
COG,Pigs
COG,Poultry
COG,Meat animals nec
COG,Animal products nec
COG,Raw milk
COG,"Wool, silk-worm cocoons"
COG,Manure (conventional treatment)
COG,Manure (biogas treatment)
COG,"Products of forestry, logging and related services (02)"
COG,Fish and other fishing products; services incidental of fishing (05)
COG,Anthracite
COG,Coking Coal
COG,Other Bituminous Coal
COG,Sub-Bituminous Coal
COG,Patent Fuel
COG,Lignite/Brown Coal
COG,BKB/Peat Briquettes
COG,Peat
COG,"Crude petroleum and services related to crude oil extraction, excluding surveying"
COG,"Natural gas and services related to natural gas extraction, excluding surveying"
COG,Natural Gas Liquids
COG,Other Hydrocarbons
COG,Uranium and thorium ores (12)
COG,Iron ores
COG,Copper ores and concentrates
COG,Nickel ores and concentrates
COG,Aluminium ores and concentrates
COG,Precious metal ores and concentrates
COG,"Lead, zinc and tin ores and concentrates"
COG,Other non-ferrous metal ores and concentrates
COG,Stone
COG,Sand and clay
COG,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c."
COG,Products of meat cattle
COG,Products of meat pigs
COG,Products of meat poultry
COG,Meat products nec
COG,products of Vegetable oils and fats
COG,Dairy products
COG,Processed rice
COG,Sugar
COG,Food products nec
COG,Beverages
COG,Fish products
COG,Tobacco products (16)
COG,Textiles (17)
COG,Wearing apparel; furs (18)
COG,Leather and leather products (19)
COG,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)
COG,"Wood material for treatment, Re-processing of secondary wood material into new wood material"
COG,Pulp
COG,"Secondary paper for treatment, Re-processing of secondary paper into new pulp"
COG,Paper and paper products
COG,Printed matter and recorded media (22)
COG,Coke Oven Coke
COG,Gas Coke
COG,Coal Tar
COG,Motor Gasoline
COG,Aviation Gasoline
COG,Gasoline Type Jet Fuel
COG,Kerosene Type Jet Fuel
COG,Kerosene
COG,Gas/Diesel Oil
COG,Heavy Fuel Oil
COG,Refinery Gas
COG,Liquefied Petroleum Gases (LPG)
COG,Refinery Feedstocks
COG,Ethane
COG,Naphtha
COG,White Spirit & SBP
COG,Lubricants
COG,Bitumen
COG,Paraffin Waxes
COG,Petroleum Coke
COG,Non-specified Petroleum Products
COG,Nuclear fuel
COG,"Plastics, basic"
COG,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic"
COG,N-fertiliser
COG,P- and other fertiliser
COG,Chemicals nec
COG,Charcoal
COG,Additives/Blending Components
COG,Biogasoline
COG,Biodiesels
COG,Other Liquid Biofuels
COG,Rubber and plastic products (25)
COG,Glass and glass products
COG,"Secondary glass for treatment, Re-processing of secondary glass into new glass"
COG,Ceramic goods
COG,"Bricks, tiles and construction products, in baked clay"
COG,"Cement, lime and plaster"
COG,"Ash for treatment, Re-processing of ash into clinker"
COG,Other non-metallic mineral products
COG,Basic iron and steel and of ferro-alloys and first products thereof
COG,"Secondary steel for treatment, Re-processing of secondary steel into new steel"
COG,Precious metals
COG,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals"
COG,Aluminium and aluminium products
COG,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium"
COG,"Lead, zinc and tin and products thereof"
COG,"Secondary lead for treatment, Re-processing of secondary lead into new lead"
COG,Copper products
COG,"Secondary copper for treatment, Re-processing of secondary copper into new copper"
COG,Other non-ferrous metal products
COG,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals"
COG,Foundry work services
COG,"Fabricated metal products, except machinery and equipment (28)"
COG,Machinery and equipment n.e.c. (29)
COG,Office machinery and computers (30)
COG,Electrical machinery and apparatus n.e.c. (31)
COG,"Radio, television and communication equipment and apparatus (32)"
COG,"Medical, precision and optical instruments, watches and clocks (33)"
COG,"Motor vehicles, trailers and semi-trailers (34)"
COG,Other transport equipment (35)
COG,Furniture; other manufactured goods n.e.c. (36)
COG,Secondary raw materials
COG,"Bottles for treatment, Recycling of bottles by direct reuse"
COG,Electricity by coal
COG,Electricity by gas
COG,Electricity by nuclear
COG,Electricity by hydro
COG,Electricity by wind
COG,Electricity by petroleum and other oil derivatives
COG,Electricity by biomass and waste
COG,Electricity by solar photovoltaic
COG,Electricity by solar thermal
COG,"Electricity by tide, wave, ocean"
COG,Electricity by Geothermal
COG,Electricity nec
COG,Transmission services of electricity
COG,Distribution and trade services of electricity
COG,Coke oven gas
COG,Blast Furnace Gas
COG,Oxygen Steel Furnace Gas
COG,Gas Works Gas
COG,Biogas
COG,Distribution services of gaseous fuels through mains
COG,Steam and hot water supply services
COG,"Collected and purified water, distribution services of water (41)"
COG,Construction work (45)
COG,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates"
COG,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
COG,Retail trade services of motor fuel
COG,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)"
COG,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)"
COG,Hotel and restaurant services (55)
COG,Railway transportation services
COG,Other land transportation services
COG,Transportation services via pipelines
COG,Sea and coastal water transportation services
COG,Inland water transportation services
COG,Air transport services (62)
COG,Supporting and auxiliary transport services; travel agency services (63)
COG,Post and telecommunication services (64)
COG,"Financial intermediation services, except insurance and pension funding services (65)"
COG,"Insurance and pension funding services, except compulsory social security services (66)"
COG,Services auxiliary to financial intermediation (67)
COG,Real estate services (70)
COG,Renting services of machinery and equipment without operator and of personal and household goods (71)
COG,Computer and related services (72)
COG,Research and development services (73)
COG,Other business services (74)
COG,Public administration and defence services; compulsory social security services (75)
COG,Education services (80)
COG,Health and social work services (85)
COG,Food waste for treatment: incineration
COG,Paper waste for treatment: incineration
COG,Plastic waste for treatment: incineration
COG,Intert/metal waste for treatment: incineration
COG,Textiles waste for treatment: incineration
COG,Wood waste for treatment: incineration
COG,Oil/hazardous waste for treatment: incineration
COG,Food waste for treatment: biogasification and land application
COG,Paper waste for treatment: biogasification and land application
COG,Sewage sludge for treatment: biogasification and land application
COG,Food waste for treatment: composting and land application
COG,Paper and wood waste for treatment: composting and land application
COG,Food waste for treatment: waste water treatment
COG,Other waste for treatment: waste water treatment
COG,Food waste for treatment: landfill
COG,Paper for treatment: landfill
COG,Plastic waste for treatment: landfill
COG,Inert/metal/hazardous waste for treatment: landfill
COG,Textiles waste for treatment: landfill
COG,Wood waste for treatment: landfill
COG,Membership organisation services n.e.c. (91)
COG,"Recreational, cultural and sporting services (92)"
COG,Other services (93)
COG,Private households with employed persons (95)
COG,Extra-territorial organizations and bodies
COK,Paddy rice
COK,Wheat
COK,Cereal grains nec
COK,"Vegetables, fruit, nuts"
COK,Oil seeds
COK,"Sugar cane, sugar beet"
COK,Plant-based fibers
COK,Crops nec
COK,Cattle
COK,Pigs
COK,Poultry
COK,Meat animals nec
COK,Animal products nec
COK,Raw milk
COK,"Wool, silk-worm cocoons"
COK,Manure (conventional treatment)
COK,Manure (biogas treatment)
COK,"Products of forestry, logging and related services (02)"
COK,Fish and other fishing products; services incidental of fishing (05)
COK,Anthracite
COK,Coking Coal
COK,Other Bituminous Coal
COK,Sub-Bituminous Coal
COK,Patent Fuel
COK,Lignite/Brown Coal
COK,BKB/Peat Briquettes
COK,Peat
COK,"Crude petroleum and services related to crude oil extraction, excluding surveying"
COK,"Natural gas and services related to natural gas extraction, excluding surveying"
COK,Natural Gas Liquids
COK,Other Hydrocarbons
COK,Uranium and thorium ores (12)
COK,Iron ores
COK,Copper ores and concentrates
COK,Nickel ores and concentrates
COK,Aluminium ores and concentrates
COK,Precious metal ores and concentrates
COK,"Lead, zinc and tin ores and concentrates"
COK,Other non-ferrous metal ores and concentrates
COK,Stone
COK,Sand and clay
COK,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c."
COK,Products of meat cattle
COK,Products of meat pigs
COK,Products of meat poultry
COK,Meat products nec
COK,products of Vegetable oils and fats
COK,Dairy products
COK,Processed rice
COK,Sugar
COK,Food products nec
COK,Beverages
COK,Fish products
COK,Tobacco products (16)
COK,Textiles (17)
COK,Wearing apparel; furs (18)
COK,Leather and leather products (19)
COK,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)
COK,"Wood material for treatment, Re-processing of secondary wood material into new wood material"
COK,Pulp
COK,"Secondary paper for treatment, Re-processing of secondary paper into new pulp"
COK,Paper and paper products
COK,Printed matter and recorded media (22)
COK,Coke Oven Coke
COK,Gas Coke
COK,Coal Tar
COK,Motor Gasoline
COK,Aviation Gasoline
COK,Gasoline Type Jet Fuel
COK,Kerosene Type Jet Fuel
COK,Kerosene
COK,Gas/Diesel Oil
COK,Heavy Fuel Oil
COK,Refinery Gas
COK,Liquefied Petroleum Gases (LPG)
COK,Refinery Feedstocks
COK,Ethane
COK,Naphtha
COK,White Spirit & SBP
COK,Lubricants
COK,Bitumen
COK,Paraffin Waxes
COK,Petroleum Coke
COK,Non-specified Petroleum Products
COK,Nuclear fuel
COK,"Plastics, basic"
COK,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic"
COK,N-fertiliser
COK,P- and other fertiliser
COK,Chemicals nec
COK,Charcoal
COK,Additives/Blending Components
COK,Biogasoline
COK,Biodiesels
COK,Other Liquid Biofuels
COK,Rubber and plastic products (25)
COK,Glass and glass products
COK,"Secondary glass for treatment, Re-processing of secondary glass into new glass"
COK,Ceramic goods
COK,"Bricks, tiles and construction products, in baked clay"
COK,"Cement, lime and plaster"
COK,"Ash for treatment, Re-processing of ash into clinker"
COK,Other non-metallic mineral products
COK,Basic iron and steel and of ferro-alloys and first products thereof
COK,"Secondary steel for treatment, Re-processing of secondary steel into new steel"
COK,Precious metals
COK,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals"
COK,Aluminium and aluminium products
COK,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium"
COK,"Lead, zinc and tin and products thereof"
COK,"Secondary lead for treatment, Re-processing of secondary lead into new lead"
COK,Copper products
COK,"Secondary copper for treatment, Re-processing of secondary copper into new copper"
COK,Other non-ferrous metal products
COK,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals"
COK,Foundry work services
COK,"Fabricated metal products, except machinery and equipment (28)"
COK,Machinery and equipment n.e.c. (29)
COK,Office machinery and computers (30)
COK,Electrical machinery and apparatus n.e.c. (31)
COK,"Radio, television and communication equipment and apparatus (32)"
COK,"Medical, precision and optical instruments, watches and clocks (33)"
COK,"Motor vehicles, trailers and semi-trailers (34)"
COK,Other transport equipment (35)
COK,Furniture; other manufactured goods n.e.c. (36)
COK,Secondary raw materials
COK,"Bottles for treatment, Recycling of bottles by direct reuse"
COK,Electricity by coal
COK,Electricity by gas
COK,Electricity by nuclear
COK,Electricity by hydro
COK,Electricity by wind
COK,Electricity by petroleum and other oil derivatives
COK,Electricity by biomass and waste
COK,Electricity by solar photovoltaic
COK,Electricity by solar thermal
COK,"Electricity by tide, wave, ocean"
COK,Electricity by Geothermal
COK,Electricity nec
COK,Transmission services of electricity
COK,Distribution and trade services of electricity
COK,Coke oven gas
COK,Blast Furnace Gas
COK,Oxygen Steel Furnace Gas
COK,Gas Works Gas
COK,Biogas
COK,Distribution services of gaseous fuels through mains
COK,Steam and hot water supply services
COK,"Collected and purified water, distribution services of water (41)"
COK,Construction work (45)
COK,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates"
COK,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
