Exiobase - Region,Exiobase - Category
AFG,Textiles waste for treatment: incineration
AFG,Wood waste for treatment: incineration
AFG,Oil/hazardous waste for treatment: incineration
AFG,Food waste for treatment: biogasification and land application
AFG,Paper waste for treatment: biogasification and land application
AFG,Sewage sludge for treatment: biogasification and land application
AFG,Food waste for treatment: composting and land application
AFG,Paper and wood waste for treatment: composting and land application
AFG,Food waste for treatment: waste water treatment
AFG,Other waste for treatment: waste water treatment
AFG,Food waste for treatment: landfill
AFG,Paper for treatment: landfill
AFG,Plastic waste for treatment: landfill
AFG,Inert/metal/hazardous waste for treatment: landfill
AFG,Textiles waste for treatment: landfill
AFG,Wood waste for treatment: landfill
AFG,Membership organisation services n.e.c. (91)
AFG,"Recreational, cultural and sporting services (92)"
AFG,Other services (93)
AFG,Private households with employed persons (95)
AFG,Extra-territorial organizations and bodies
ALB,Paddy rice
ALB,Wheat
ALB,Cereal grains nec
ALB,"Vegetables, fruit, nuts"
ALB,Oil seeds
ALB,"Sugar cane, sugar beet"
ALB,Plant-based fibers
ALB,Crops nec
ALB,Cattle
ALB,Pigs
ALB,Poultry
ALB,Meat animals nec
ALB,Animal products nec
ALB,Raw milk
ALB,"Wool, silk-worm cocoons"
ALB,Manure (conventional treatment)
ALB,Manure (biogas treatment)
ALB,"Products of forestry, logging and related services (02)"
ALB,Fish and other fishing products; services incidental of fishing (05)
ALB,Anthracite
ALB,Coking Coal
ALB,Other Bituminous Coal
ALB,Sub-Bituminous Coal
ALB,Patent Fuel
ALB,Lignite/Brown Coal
ALB,BKB/Peat Briquettes
ALB,Peat
ALB,"Crude petroleum and services related to crude oil extraction, excluding surveying"
ALB,"Natural gas and services related to natural gas extraction, excluding surveying"
ALB,Natural Gas Liquids
ALB,Other Hydrocarbons
ALB,Uranium and thorium ores (12)
ALB,Iron ores
ALB,Copper ores and concentrates
ALB,Nickel ores and concentrates
ALB,Aluminium ores and concentrates
ALB,Precious metal ores and concentrates
ALB,"Lead, zinc and tin ores and concentrates"
ALB,Other non-ferrous metal ores and concentrates
ALB,Stone
ALB,Sand and clay
ALB,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c."
ALB,Products of meat cattle
ALB,Products of meat pigs
ALB,Products of meat poultry
ALB,Meat products nec
ALB,products of Vegetable oils and fats
ALB,Dairy products
ALB,Processed rice
ALB,Sugar
ALB,Food products nec
ALB,Beverages
ALB,Fish products
ALB,Tobacco products (16)
ALB,Textiles (17)
ALB,Wearing apparel; furs (18)
ALB,Leather and leather products (19)
ALB,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)
ALB,"Wood material for treatment, Re-processing of secondary wood material into new wood material"
ALB,Pulp
ALB,"Secondary paper for treatment, Re-processing of secondary paper into new pulp"
ALB,Paper and paper products
ALB,Printed matter and recorded media (22)
ALB,Coke Oven Coke
ALB,Gas Coke
ALB,Coal Tar
ALB,Motor Gasoline
ALB,Aviation Gasoline
ALB,Gasoline Type Jet Fuel
ALB,Kerosene Type Jet Fuel
ALB,Kerosene
ALB,Gas/Diesel Oil
ALB,Heavy Fuel Oil
ALB,Refinery Gas
ALB,Liquefied Petroleum Gases (LPG)
ALB,Refinery Feedstocks
ALB,Ethane
ALB,Naphtha
ALB,White Spirit & SBP
ALB,Lubricants
ALB,Bitumen
ALB,Paraffin Waxes
ALB,Petroleum Coke
ALB,Non-specified Petroleum Products
ALB,Nuclear fuel
ALB,"Plastics, basic"
ALB,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic"
ALB,N-fertiliser
ALB,P- and other fertiliser
ALB,Chemicals nec
ALB,Charcoal
ALB,Additives/Blending Components
ALB,Biogasoline
ALB,Biodiesels
ALB,Other Liquid Biofuels
ALB,Rubber and plastic products (25)
ALB,Glass and glass products
ALB,"Secondary glass for treatment, Re-processing of secondary glass into new glass"
ALB,Ceramic goods
ALB,"Bricks, tiles and construction products, in baked clay"
ALB,"Cement, lime and plaster"
ALB,"Ash for treatment, Re-processing of ash into clinker"
ALB,Other non-metallic mineral products
ALB,Basic iron and steel and of ferro-alloys and first products thereof
ALB,"Secondary steel for treatment, Re-processing of secondary steel into new steel"
ALB,Precious metals
ALB,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals"
ALB,Aluminium and aluminium products
ALB,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium"
ALB,"Lead, zinc and tin and products thereof"
ALB,"Secondary lead for treatment, Re-processing of secondary lead into new lead"
ALB,Copper products
ALB,"Secondary copper for treatment, Re-processing of secondary copper into new copper"
ALB,Other non-ferrous metal products
ALB,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals"
ALB,Foundry work services
ALB,"Fabricated metal products, except machinery and equipment (28)"
ALB,Machinery and equipment n.e.c. (29)
ALB,Office machinery and computers (30)
ALB,Electrical machinery and apparatus n.e.c. (31)
ALB,"Radio, television and communication equipment and apparatus (32)"
ALB,"Medical, precision and optical instruments, watches and clocks (33)"
ALB,"Motor vehicles, trailers and semi-trailers (34)"
ALB,Other transport equipment (35)
ALB,Furniture; other manufactured goods n.e.c. (36)
ALB,Secondary raw materials
ALB,"Bottles for treatment, Recycling of bottles by direct reuse"
ALB,Electricity by coal
ALB,Electricity by gas
ALB,Electricity by nuclear
ALB,Electricity by hydro
ALB,Electricity by wind
ALB,Electricity by petroleum and other oil derivatives
ALB,Electricity by biomass and waste
ALB,Electricity by solar photovoltaic
ALB,Electricity by solar thermal
ALB,"Electricity by tide, wave, ocean"
ALB,Electricity by Geothermal
ALB,Electricity nec
ALB,Transmission services of electricity
ALB,Distribution and trade services of electricity
ALB,Coke oven gas
ALB,Blast Furnace Gas
ALB,Oxygen Steel Furnace Gas
ALB,Gas Works Gas
ALB,Biogas
ALB,Distribution services of gaseous fuels through mains
ALB,Steam and hot water supply services
ALB,"Collected and purified water, distribution services of water (41)"
ALB,Construction work (45)
ALB,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates"
ALB,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
ALB,Retail trade services of motor fuel
ALB,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)"
ALB,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)"
ALB,Hotel and restaurant services (55)
ALB,Railway transportation services
ALB,Other land transportation services
ALB,Transportation services via pipelines
ALB,Sea and coastal water transportation services
ALB,Inland water transportation services
ALB,Air transport services (62)
ALB,Supporting and auxiliary transport services; travel agency services (63)
ALB,Post and telecommunication services (64)
ALB,"Financial intermediation services, except insurance and pension funding services (65)"
ALB,"Insurance and pension funding services, except compulsory social security services (66)"
ALB,Services auxiliary to financial intermediation (67)
ALB,Real estate services (70)
ALB,Renting services of machinery and equipment without operator and of personal and household goods (71)
ALB,Computer and related services (72)
ALB,Research and development services (73)
ALB,Other business services (74)
ALB,Public administration and defence services; compulsory social security services (75)
ALB,Education services (80)
ALB,Health and social work services (85)
ALB,Food waste for treatment: incineration
ALB,Paper waste for treatment: incineration
ALB,Plastic waste for treatment: incineration
ALB,Intert/metal waste for treatment: incineration
ALB,Textiles waste for treatment: incineration
ALB,Wood waste for treatment: incineration
ALB,Oil/hazardous waste for treatment: incineration
ALB,Food waste for treatment: biogasification and land application
ALB,Paper waste for treatment: biogasification and land application
ALB,Sewage sludge for treatment: biogasification and land application
ALB,Food waste for treatment: composting and land application
ALB,Paper and wood waste for treatment: composting and land application
ALB,Food waste for treatment: waste water treatment
ALB,Other waste for treatment: waste water treatment
ALB,Food waste for treatment: landfill
ALB,Paper for treatment: landfill
ALB,Plastic waste for treatment: landfill
ALB,Inert/metal/hazardous waste for treatment: landfill
ALB,Textiles waste for treatment: landfill
ALB,Wood waste for treatment: landfill
ALB,Membership organisation services n.e.c. (91)
ALB,"Recreational, cultural and sporting services (92)"
ALB,Other services (93)
ALB,Private households with employed persons (95)
ALB,Extra-territorial organizations and bodies
DZA,Paddy rice
DZA,Wheat
DZA,Cereal grains nec
DZA,"Vegetables, fruit, nuts"
DZA,Oil seeds
DZA,"Sugar cane, sugar beet"
DZA,Plant-based fibers
DZA,Crops nec
DZA,Cattle
DZA,Pigs
DZA,Poultry
DZA,Meat animals nec
DZA,Animal products nec
DZA,Raw milk
DZA,"Wool, silk-worm cocoons"
DZA,Manure (conventional treatment)
DZA,Manure (biogas treatment)
DZA,"Products of forestry, logging and related services (02)"
DZA,Fish and other fishing products; services incidental of fishing (05)
DZA,Anthracite
DZA,Coking Coal
DZA,Other Bituminous Coal
DZA,Sub-Bituminous Coal
DZA,Patent Fuel
DZA,Lignite/Brown Coal
DZA,BKB/Peat Briquettes
DZA,Peat
DZA,"Crude petroleum and services related to crude oil extraction, excluding surveying"
DZA,"Natural gas and services related to natural gas extraction, excluding surveying"
DZA,Natural Gas Liquids
DZA,Other Hydrocarbons
DZA,Uranium and thorium ores (12)
DZA,Iron ores
DZA,Copper ores and concentrates
DZA,Nickel ores and concentrates
DZA,Aluminium ores and concentrates
DZA,Precious metal ores and concentrates
DZA,"Lead, zinc and tin ores and concentrates"
DZA,Other non-ferrous metal ores and concentrates
DZA,Stone
DZA,Sand and clay
DZA,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c."
DZA,Products of meat cattle
DZA,Products of meat pigs
DZA,Products of meat poultry
DZA,Meat products nec
DZA,products of Vegetable oils and fats
DZA,Dairy products
DZA,Processed rice
DZA,Sugar
DZA,Food products nec
DZA,Beverages
DZA,Fish products
DZA,Tobacco products (16)
DZA,Textiles (17)
DZA,Wearing apparel; furs (18)
DZA,Leather and leather products (19)
DZA,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)
DZA,"Wood material for treatment, Re-processing of secondary wood material into new wood material"
DZA,Pulp
DZA,"Secondary paper for treatment, Re-processing of secondary paper into new pulp"
DZA,Paper and paper products
DZA,Printed matter and recorded media (22)
DZA,Coke Oven Coke
DZA,Gas Coke
DZA,Coal Tar
DZA,Motor Gasoline
DZA,Aviation Gasoline
DZA,Gasoline Type Jet Fuel
DZA,Kerosene Type Jet Fuel
DZA,Kerosene
DZA,Gas/Diesel Oil
DZA,Heavy Fuel Oil
DZA,Refinery Gas
DZA,Liquefied Petroleum Gases (LPG)
DZA,Refinery Feedstocks
DZA,Ethane
DZA,Naphtha
DZA,White Spirit & SBP
DZA,Lubricants
DZA,Bitumen
DZA,Paraffin Waxes
DZA,Petroleum Coke
DZA,Non-specified Petroleum Products
DZA,Nuclear fuel
DZA,"Plastics, basic"
DZA,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic"
DZA,N-fertiliser
DZA,P- and other fertiliser
DZA,Chemicals nec
DZA,Charcoal
DZA,Additives/Blending Components
DZA,Biogasoline
DZA,Biodiesels
DZA,Other Liquid Biofuels
DZA,Rubber and plastic products (25)
DZA,Glass and glass products
DZA,"Secondary glass for treatment, Re-processing of secondary glass into new glass"
DZA,Ceramic goods
DZA,"Bricks, tiles and construction products, in baked clay"
DZA,"Cement, lime and plaster"
DZA,"Ash for treatment, Re-processing of ash into clinker"
DZA,Other non-metallic mineral products
DZA,Basic iron and steel and of ferro-alloys and first products thereof
DZA,"Secondary steel for treatment, Re-processing of secondary steel into new steel"
DZA,Precious metals
DZA,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals"
DZA,Aluminium and aluminium products
DZA,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium"
DZA,"Lead, zinc and tin and products thereof"
DZA,"Secondary lead for treatment, Re-processing of secondary lead into new lead"
DZA,Copper products
DZA,"Secondary copper for treatment, Re-processing of secondary copper into new copper"
DZA,Other non-ferrous metal products
DZA,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals"
DZA,Foundry work services
DZA,"Fabricated metal products, except machinery and equipment (28)"
DZA,Machinery and equipment n.e.c. (29)
DZA,Office machinery and computers (30)
DZA,Electrical machinery and apparatus n.e.c. (31)
DZA,"Radio, television and communication equipment and apparatus (32)"
DZA,"Medical, precision and optical instruments, watches and clocks (33)"
DZA,"Motor vehicles, trailers and semi-trailers (34)"
DZA,Other transport equipment (35)
DZA,Furniture; other manufactured goods n.e.c. (36)
DZA,Secondary raw materials
DZA,"Bottles for treatment, Recycling of bottles by direct reuse"
DZA,Electricity by coal
DZA,Electricity by gas
DZA,Electricity by nuclear
DZA,Electricity by hydro
DZA,Electricity by wind
DZA,Electricity by petroleum and other oil derivatives
DZA,Electricity by biomass and waste
DZA,Electricity by solar photovoltaic
DZA,Electricity by solar thermal
DZA,"Electricity by tide, wave, ocean"
DZA,Electricity by Geothermal
DZA,Electricity nec
DZA,Transmission services of electricity
DZA,Distribution and trade services of electricity
DZA,Coke oven gas
DZA,Blast Furnace Gas
DZA,Oxygen Steel Furnace Gas
DZA,Gas Works Gas
DZA,Biogas
DZA,Distribution services of gaseous fuels through mains
DZA,Steam and hot water supply services
DZA,"Collected and purified water, distribution services of water (41)"
DZA,Construction work (45)
DZA,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates"
DZA,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
DZA,Retail trade services of motor fuel
DZA,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)"
DZA,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)"
DZA,Hotel and restaurant services (55)
DZA,Railway transportation services
DZA,Other land transportation services
DZA,Transportation services via pipelines
DZA,Sea and coastal water transportation services
DZA,Inland water transportation services
DZA,Air transport services (62)
DZA,Supporting and auxiliary transport services; travel agency services (63)
DZA,Post and telecommunication services (64)
DZA,"Financial intermediation services, except insurance and pension funding services (65)"
DZA,"Insurance and pension funding services, except compulsory social security services (66)"
DZA,Services auxiliary to financial intermediation (67)
DZA,Real estate services (70)
DZA,Renting services of machinery and equipment without operator and of personal and household goods (71)
DZA,Computer and related services (72)
DZA,Research and development services (73)
DZA,Other business services (74)
DZA,Public administration and defence services; compulsory social security services (75)
DZA,Education services (80)
DZA,Health and social work services (85)
DZA,Food waste for treatment: incineration
DZA,Paper waste for treatment: incineration
DZA,Plastic waste for treatment: incineration
DZA,Intert/metal waste for treatment: incineration
DZA,Textiles waste for treatment: incineration
DZA,Wood waste for treatment: incineration
DZA,Oil/hazardous waste for treatment: incineration
DZA,Food waste for treatment: biogasification and land application
DZA,Paper waste for treatment: biogasification and land application
DZA,Sewage sludge for treatment: biogasification and land application
DZA,Food waste for treatment: composting and land application
DZA,Paper and wood waste for treatment: composting and land application
DZA,Food waste for treatment: waste water treatment
DZA,Other waste for treatment: waste water treatment
DZA,Food waste for treatment: landfill
DZA,Paper for treatment: landfill
DZA,Plastic waste for treatment: landfill
DZA,Inert/metal/hazardous waste for treatment: landfill
DZA,Textiles waste for treatment: landfill
DZA,Wood waste for treatment: landfill
DZA,Membership organisation services n.e.c. (91)
DZA,"Recreational, cultural and sporting services (92)"
DZA,Other services (93)
DZA,Private households with employed persons (95)
DZA,Extra-territorial organizations and bodies
AND,Paddy rice
AND,Wheat
AND,Cereal grains nec
AND,"Vegetables, fruit, nuts"
AND,Oil seeds
AND,"Sugar cane, sugar beet"
AND,Plant-based fibers
AND,Crops nec
AND,Cattle
AND,Pigs
AND,Poultry
AND,Meat animals nec
AND,Animal products nec
AND,Raw milk
AND,"Wool, silk-worm cocoons"
AND,Manure (conventional treatment)
AND,Manure (biogas treatment)
AND,"Products of forestry, logging and related services (02)"
AND,Fish and other fishing products; services incidental of fishing (05)
AND,Anthracite
AND,Coking Coal
AND,Other Bituminous Coal
AND,Sub-Bituminous Coal
AND,Patent Fuel
AND,Lignite/Brown Coal
AND,BKB/Peat Briquettes
AND,Peat
AND,"Crude petroleum and services related to crude oil extraction, excluding surveying"
AND,"Natural gas and services related to natural gas extraction, excluding surveying"
AND,Natural Gas Liquids
AND,Other Hydrocarbons
AND,Uranium and thorium ores (12)
AND,Iron ores
AND,Copper ores and concentrates
AND,Nickel ores and concentrates
AND,Aluminium ores and concentrates
AND,Precious metal ores and concentrates
AND,"Lead, zinc and tin ores and concentrates"
AND,Other non-ferrous metal ores and concentrates
AND,Stone
AND,Sand and clay
AND,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c."
AND,Products of meat cattle
AND,Products of meat pigs
AND,Products of meat poultry
AND,Meat products nec
AND,products of Vegetable oils and fats
AND,Dairy products
AND,Processed rice
AND,Sugar
AND,Food products nec
AND,Beverages
AND,Fish products
AND,Tobacco products (16)
AND,Textiles (17)
AND,Wearing apparel; furs (18)
AND,Leather and leather products (19)
AND,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)
AND,"Wood material for treatment, Re-processing of secondary wood material into new wood material"
AND,Pulp
AND,"Secondary paper for treatment, Re-processing of secondary paper into new pulp"
AND,Paper and paper products
AND,Printed matter and recorded media (22)
AND,Coke Oven Coke
AND,Gas Coke
AND,Coal Tar
AND,Motor Gasoline
AND,Aviation Gasoline
AND,Gasoline Type Jet Fuel
AND,Kerosene Type Jet Fuel
AND,Kerosene
AND,Gas/Diesel Oil
AND,Heavy Fuel Oil
AND,Refinery Gas
AND,Liquefied Petroleum Gases (LPG)
AND,Refinery Feedstocks
AND,Ethane
AND,Naphtha
AND,White Spirit & SBP
AND,Lubricants
AND,Bitumen
AND,Paraffin Waxes
AND,Petroleum Coke
AND,Non-specified Petroleum Products
AND,Nuclear fuel
AND,"Plastics, basic"
AND,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic"
AND,N-fertiliser
AND,P- and other fertiliser
AND,Chemicals nec
AND,Charcoal
AND,Additives/Blending Components
AND,Biogasoline
AND,Biodiesels
AND,Other Liquid Biofuels
AND,Rubber and plastic products (25)
AND,Glass and glass products
AND,"Secondary glass for treatment, Re-processing of secondary glass into new glass"
AND,Ceramic goods
AND,"Bricks, tiles and construction products, in baked clay"
AND,"Cement, lime and plaster"
AND,"Ash for treatment, Re-processing of ash into clinker"
AND,Other non-metallic mineral products
AND,Basic iron and steel and of ferro-alloys and first products thereof
AND,"Secondary steel for treatment, Re-processing of secondary steel into new steel"
AND,Precious metals
AND,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals"
AND,Aluminium and aluminium products
AND,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium"
AND,"Lead, zinc and tin and products thereof"
AND,"Secondary lead for treatment, Re-processing of secondary lead into new lead"
AND,Copper products
AND,"Secondary copper for treatment, Re-processing of secondary copper into new copper"
AND,Other non-ferrous metal products
AND,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals"
AND,Foundry work services
